{4: 192, 6: 320, 8: 4416}
5,102,121,225,369,546,711,869
5,102,170,229,442,546,850,869
5,77,133,233,313,546,593,711
5,53,133,233,405,546,682,711
5,81,225,249,329,438,698,711
5,81,225,249,329,478,698,711
5,46,225,249,398,698,711,846
5,122,153,249,370,698,778,870
5,122,153,249,698,731,778,870
5,102,153,206,350,613,711,778
5,102,170,229,442,711,850,869
5,133,153,206,350,613,711,778
5,121,152,225,369,711,730,869
5,22,170,225,438,711,795,869
5,45,225,248,397,674,711,869
5,104,153,248,397,778,852,869
5,104,153,248,501,778,852,869
6,65,160,252,377,422,505,738
6,27,65,171,422,443,462,870
6,32,65,252,422,505,573,738
6,65,108,252,401,422,505,738
6,65,122,178,422,638,870,877
6,119,150,250,367,422,563,699
6,94,150,250,266,422,610,699
6,22,150,250,422,563,699,728
6,119,150,250,422,563,699,728
6,49,108,150,401,422,505,849
6,49,150,252,401,422,505,849
6,117,209,226,289,422,633,712
6,105,209,249,353,398,422,870
6,105,209,249,353,422,502,870
6,105,154,209,353,422,779,853
6,27,171,209,422,443,462,870
6,65,209,252,422,462,505,738
6,78,209,234,314,422,522,547
6,78,134,209,422,522,594,712
6,156,209,234,422,547,616,855
6,29,209,249,422,658,735,870
6,53,154,209,422,759,779,853
6,86,171,209,422,443,759,870
6,181,209,234,422,547,577,759
6,30,209,250,422,699,736,894
6,82,209,250,330,422,699,894
6,82,209,226,422,439,712,894
6,82,209,226,422,479,712,894
6,103,108,212,356,505,547,619
6,103,108,212,356,505,619,712
6,108,134,212,356,505,712,833
6,108,122,231,505,638,717,870
6,108,157,249,505,735,856,870
6,125,234,252,505,547,577,873
6,103,154,207,351,547,614,779
6,44,103,226,396,479,547,712
6,103,134,212,547,619,712,833
6,103,122,226,370,547,712,870
6,103,171,230,443,547,851,870
6,78,134,234,314,547,594,712
6,54,134,234,406,547,683,712
6,82,226,250,330,439,699,712
6,82,226,250,330,479,699,712
6,47,226,250,399,699,712,847
6,123,154,250,371,699,779,871
6,123,154,250,699,732,779,871
6,103,154,207,351,614,712,779
6,103,171,230,443,712,851,870
6,134,154,207,351,614,712,779
6,122,153,226,370,712,731,870
6,23,171,226,439,712,796,870
6,46,226,249,398,675,712,870
6,105,154,249,398,779,853,870
6,105,154,249,502,779,853,870
7,66,161,253,378,423,506,739
7,28,66,172,423,444,463,871
7,33,66,253,423,506,574,739
7,66,109,253,402,423,506,739
7,66,123,179,423,639,871,878
7,120,151,251,368,423,564,700
7,95,151,251,267,423,611,700
7,23,151,251,423,564,700,729
7,120,151,251,423,564,700,729
7,50,109,151,402,423,506,850
7,50,151,253,402,423,506,850
7,118,210,227,290,423,634,713
7,106,210,250,354,399,423,871
7,106,210,250,354,423,503,871
7,106,155,210,354,423,780,854
7,28,172,210,423,444,463,871
7,66,210,253,423,463,506,739
7,79,210,235,315,423,523,548
7,79,135,210,423,523,595,713
7,157,210,235,423,548,617,856
7,30,210,250,423,659,736,871
7,54,155,210,423,760,780,854
7,87,172,210,423,444,760,871
7,182,210,235,423,548,578,760
7,31,210,251,423,700,737,895
7,83,210,251,331,423,700,895
7,83,210,227,423,440,713,895
7,83,210,227,423,480,713,895
7,104,109,213,357,506,548,620
7,104,109,213,357,506,620,713
7,109,135,213,357,506,713,834
7,109,123,232,506,639,718,871
7,109,158,250,506,736,857,871
7,126,235,253,506,548,578,874
7,104,155,208,352,548,615,780
7,45,104,227,397,480,548,713
7,104,135,213,548,620,713,834
7,104,123,227,371,548,713,871
7,104,172,231,444,548,852,871
7,79,135,235,315,548,595,713
7,55,135,235,407,548,684,713
7,83,227,251,331,440,700,713
7,83,227,251,331,480,700,713
7,48,227,251,400,700,713,848
7,124,155,251,372,700,780,872
7,124,155,251,700,733,780,872
7,104,155,208,352,615,713,780
7,104,172,231,444,713,852,871
7,135,155,208,352,615,713,780
7,123,154,227,371,713,732,871
7,24,172,227,440,713,797,871
7,47,227,250,399,676,713,871
7,106,155,250,399,780,854,871
7,106,155,250,503,780,854,871
8,67,162,254,379,424,507,740
8,29,67,173,424,445,464,872
8,34,67,254,424,507,575,740
8,67,110,254,403,424,507,740
8,67,124,180,424,576,872,879
8,121,152,252,369,424,565,701
8,96,152,252,268,424,612,701
8,24,152,252,424,565,701,730
8,121,152,252,424,565,701,730
8,51,110,152,403,424,507,851
8,51,152,254,403,424,507,851
8,119,211,228,291,424,635,714
8,107,211,251,355,400,424,872
8,107,211,251,355,424,504,872
8,107,156,211,355,424,781,855
8,29,173,211,424,445,464,872
8,67,211,254,424,464,507,740
8,80,211,236,316,424,524,549
8,80,136,211,424,524,596,714
8,158,211,236,424,549,618,857
8,31,211,251,424,660,737,872
8,55,156,211,424,761,781,855
8,88,173,211,424,445,761,872
8,183,211,236,424,549,579,761
8,32,211,252,424,701,738,832
8,84,211,252,332,424,701,832
8,84,211,228,424,441,714,832
8,84,211,228,424,481,714,832
8,105,110,214,358,507,549,621
8,105,110,214,358,507,621,714
8,110,136,214,358,507,714,835
8,110,124,233,507,576,719,872
8,110,159,251,507,737,858,872
8,127,236,254,507,549,579,875
8,105,156,209,353,549,616,781
8,46,105,228,398,481,549,714
8,105,136,214,549,621,714,835
8,105,124,228,372,549,714,872
8,105,173,232,445,549,853,872
8,80,136,236,316,549,596,714
8,56,136,236,408,549,685,714
8,84,228,252,332,441,701,714
8,84,228,252,332,481,701,714
8,49,228,252,401,701,714,849
8,125,156,252,373,701,781,873
8,125,156,252,701,734,781,873
8,105,156,209,353,616,714,781
8,105,173,232,445,714,853,872
8,136,156,209,353,616,714,781
8,124,155,228,372,714,733,872
8,25,173,228,441,714,798,872
8,48,228,251,400,677,714,872
8,107,156,251,400,781,855,872
8,107,156,251,504,781,855,872
9,68,163,255,380,425,508,741
9,30,68,174,425,446,465,873
9,35,68,255,425,508,512,741
9,68,111,255,404,425,508,741
9,68,125,181,425,577,873,880
9,122,153,253,370,425,566,702
9,97,153,253,269,425,613,702
9,25,153,253,425,566,702,731
9,122,153,253,425,566,702,731
9,52,111,153,404,425,508,852
9,52,153,255,404,425,508,852
9,120,212,229,292,425,636,715
9,108,212,252,356,401,425,873
9,108,212,252,356,425,505,873
9,108,157,212,356,425,782,856
9,30,174,212,425,446,465,873
9,68,212,255,425,465,508,741
9,81,212,237,317,425,525,550
9,81,137,212,425,525,597,715
9,159,212,237,425,550,619,858
9,32,212,252,425,661,738,873
9,56,157,212,425,762,782,856
9,89,174,212,425,446,762,873
9,184,212,237,425,550,580,762
9,33,212,253,425,702,739,833
9,85,212,253,333,425,702,833
9,85,212,229,425,442,715,833
9,85,212,229,425,482,715,833
9,106,111,215,359,508,550,622
9,106,111,215,359,508,622,715
9,111,137,215,359,508,715,836
9,111,125,234,508,577,720,873
9,111,160,252,508,738,859,873
9,64,237,255,508,550,580,876
9,106,157,210,354,550,617,782
9,47,106,229,399,482,550,715
9,106,137,215,550,622,715,836
9,106,125,229,373,550,715,873
9,106,174,233,446,550,854,873
9,81,137,237,317,550,597,715
9,57,137,237,409,550,686,715
9,85,229,253,333,442,702,715
9,85,229,253,333,482,702,715
9,50,229,253,402,702,715,850
9,126,157,253,374,702,782,874
9,126,157,253,702,735,782,874
9,106,157,210,354,617,715,782
9,106,174,233,446,715,854,873
9,137,157,210,354,617,715,782
9,125,156,229,373,715,734,873
